"","PROBEID","UNIPROT"
"229","1552424_at","Q6JEL2"
"230","1552424_at","B4DX37"
"231","1552425_a_at","A0A140VJM8"
"232","1552425_a_at","Q6JEL2"
"233","1552425_a_at","B4DX37"
"234","1552426_a_at","B4DLL2"
"235","1552426_a_at","E7EPS7"
"236","1552426_a_at","H0YNS4"
"237","1552426_a_at","Q9BRN9"
"238","1552427_at","A0A024R7T5"
"239","1552427_at","Q8NCK3"
"240","1552430_at","Q8IZU2"
"241","1552432_at","Q8IWD5"
"242","1552436_a_at","A0A087WYR8"
"243","1552436_a_at","Q6P152"
"244","1552436_a_at","Q9H251"
"245","1552436_a_at","Q8N5B3"
"246","1552436_a_at","A5D6V9"
"247","1552438_a_at","Q70AK8"
"248","1552438_a_at","Q7Z5J8"
"249","1552439_s_at","A6BM72"
"250","1552440_at","O15218"
"251","1552445_a_at","Q8N693"
"252","1552448_a_at",NA
"253","1552449_a_at","Q8TD33"
"254","1552449_a_at","P0DMR2"
"255","1552450_a_at","Q8N7S2"
"256","1552452_at","Q6ZMY6"
"257","1552453_a_at","Q6ZMY6"
"258","1552455_at","A0A088AWP5"
"259","1552455_at","D6RTK6"
"260","1552455_at","G8XWS8"
"261","1552455_at","Q8WUY3"
"262","1552455_at","B4DJW7"
"263","1552455_at","B4DSQ3"
"264","1552455_at","Q5JUB8"
"265","1552456_a_at","Q8NHZ7"
"266","1552457_a_at","Q6MZQ3"
"267","1552457_a_at","Q8N6G6"
"268","1552458_at","Q8WWY6"
"269","1552459_a_at","Q8WWY6"
"270","1552461_at","Q8NEK8"
"271","1552463_at","A0A096LPD5"
"272","1552463_at","A9UKE9"
"273","1552463_at","Q96P15"
"274","1552463_at","B4DKT7"
"275","1552463_at","F5GYW9"
"276","1552466_x_at",NA
"277","1552467_at",NA
"278","1552468_a_at",NA
"279","1552470_a_at","Q8NFV4"
"280","1552470_a_at","C9J7Q4"
"281","1552470_a_at","D3DXF2"
"282","1552472_a_at","Q15057"
"283","1552473_at","Q14353"
"284","1552473_at","V9HWB2"
"285","1552474_a_at","Q14353"
"286","1552474_a_at","V9HWB2"
"287","1552476_s_at","Q8N3E9"
"288","1552477_a_at","O14896"
"289","1552477_a_at","G0Z349"
"290","1552478_a_at","O14896"
"291","1552478_a_at","G0Z349"
"292","1552480_s_at","M9MML4"
"293","1552480_s_at","A0A0A0MT22"
"294","1552480_s_at","P08575"
"295","1552480_s_at","X6R433"
"296","1552481_s_at","O60476"
"297","1552482_at","Q70E73"
"298","1552482_at","C9K0J5"
"299","1552484_at","Q8TEV9"
"300","1552485_at","P83111"
"301","1552486_s_at","P83111"
"302","1552487_a_at","B7Z885"
"303","1552487_a_at","F5GY04"
"304","1552487_a_at","Q01954"
"305","1552489_s_at","Q96JB8"
"306","1552489_s_at","A0A087WUS1"
"307","1552490_at","Q8WV93"
"308","1552491_at","Q9BXS1"
"309","1552493_s_at","P15538"
"310","1552493_s_at","Q8TDD0"
"311","1552494_at","Q7Z7C8"
"312","1552496_a_at","O75128"
"313","1552497_a_at","Q96DU3"
"314","1552497_a_at","B4E1U5"
"315","1552498_at","P17040"
"316","1552499_a_at","P17040"
"317","1552501_a_at","Q8TDU6"
"318","1552502_s_at","B7Z1Y9"
"319","1552502_s_at","Q9NX52"
"320","1552503_at","Q86XX4"
"321","1552504_a_at","Q8TDC3"
"322","1552506_at","Q5IJ48"
"323","1552507_at","A5H1P5"
"324","1552507_at","Q8WWG9"
"325","1552508_at","A5H1P5"
"326","1552508_at","Q8WWG9"
"327","1552509_a_at","Q6UXG3"
"328","1552510_at","Q8N130"
"329","1552511_a_at","Q8N4T0"
"330","1552514_at","Q6ICG8"
"331","1552515_at","Q86Z02"
"332","1552515_at","B4DZ33"
"333","1552515_at","A0A024R0H9"
"334","1552516_a_at","Q86Z02"
"335","1552516_a_at","B4DZ33"
"336","1552516_a_at","A0A024R0H9"
"337","1552518_s_at","Q96DY7"
"338","1552519_at","Q8NER5"
"339","1552520_at","A0A024R9D4"
"340","1552520_at","Q96NL1"
"341","1552521_a_at","A0A024R9D4"
"342","1552521_a_at","Q96NL1"
"343","1552522_at","Q8IY51"
"344","1552523_a_at","Q8IY51"
"345","1552524_at","Q96L15"
"346","1552526_at","Q8NEG0"
"347","1552528_at",NA
"348","1552531_a_at","P59045"
"349","1552532_a_at","Q8NEY4"
"350","1552532_a_at","A0A0U1RR16"
"351","1552535_at","Q8N6F1"
"352","1552536_at","Q96AJ9"
"353","1552538_a_at","Q6ZMV9"
"354","1552540_s_at","Q96DY2"
"355","1552540_s_at","A0A024RBQ9"
"356","1552541_at","Q8N103"
"357","1552542_s_at","Q8N103"
"358","1552543_a_at","Q8WXE9"
"359","1552544_at","Q8IW75"
"360","1552546_a_at","Q2VYF4"
"361","1552546_a_at","A8K1M9"
"362","1552546_a_at","E9PMA4"
"363","1552548_at","Q5VU50"
"364","1552548_at","Q8WZ55"
"365","1552549_a_at","Q5VU50"
"366","1552549_a_at","Q8WZ55"
"367","1552552_s_at","Q8WTT0"
"368","1552553_a_at","Q9NPP4"
"369","1552554_a_at","Q9NPP4"
"370","1552555_at","B4DNP1"
"371","1552555_at","Q5K4E3"
"372","1552557_a_at","B3KY34"
"373","1552557_a_at","Q96MV8"
"374","1552558_a_at","Q7Z5J4"
"375","1552559_a_at","Q96Q40"
"376","1552562_at","K7EP39"
"377","1552562_at","Q96NI8"
"378","1552563_a_at",NA
"379","1552564_at",NA
"380","1552566_at","Q32M84"
"381","1552568_at","Q9BQQ7"
"382","1552569_a_at","Q9BQQ7"
"383","1552570_at","A0A087WZ72"
"384","1552570_at","Q8WU66"
"385","1552572_a_at","A8K735"
"386","1552572_a_at","Q8TD10"
"387","1552572_a_at","Q4G0U7"
"388","1552572_a_at","G5EA54"
"389","1552573_s_at","A8K735"
"390","1552573_s_at","Q8TD10"
"391","1552573_s_at","Q4G0U7"
"392","1552573_s_at","G5EA54"
"393","1552575_a_at","A0A024RD72"
"394","1552575_a_at","Q5SZD1"
"395","1552576_at",NA
"396","1552578_a_at","B7ZM71"
"397","1552578_a_at","Q8WXR4"
"398","1552579_a_at","Q9UKJ8"
"399","1552580_at","B7ZLC3"
"400","1552580_at","Q8N7C3"
"401","1552582_at",NA
"402","1552583_s_at",NA
"403","1552584_at","P42701"
"404","1552585_s_at","Q9UNN4"
"405","1552585_s_at","A0A140VKA3"
"406","1552586_at","B2KYM6"
"407","1552586_at","Q8NET8"
"408","1552587_at","Q8NA66"
"409","1552588_a_at","Q8NA66"
"410","1552590_a_at","Q96J65"
"411","1552592_at","Q8N119"
"412","1552594_at","Q8WZ59"
"413","1552596_at","Q8NHY3"
"414","1552598_at","Q32MC1"
"415","1552598_at","Q547S7"
"416","1552598_at","Q8TDN1"
"417","1552599_at","Q8NFP0"
"418","1552602_at","Q9UF02"
"419","1552604_at",NA
"420","1552605_s_at",NA
"421","1552607_at",NA
"422","1552608_at","Q8NEX6"
"423","1552609_s_at","A0A0C4DGW8"
"424","1552609_s_at","Q8IZI9"
"425","1552609_s_at","Q8IZJ0"
"426","1552610_a_at","P23458"
"427","1552610_a_at","Q6P669"
"428","1552611_a_at","P23458"
"429","1552611_a_at","Q6P669"
"430","1552612_at","Q9NRR3"
"431","1552613_s_at","Q9NRR3"
"432","1552615_at","O00763"
"433","1552616_a_at","O00763"
"434","1552617_a_at","Q8NHY2"
"435","1552617_a_at","X5D7N8"
"436","1552617_a_at","X5DNY7"
"437","1552618_at","O43752"
"438","1552619_a_at","Q9NQW6"
"439","1552619_a_at","A8K5D9"
"440","1552619_a_at","A0A024RA49"
"441","1552620_at","Q96PI1"
"442","1552621_at","P52435"
"443","1552621_at","Q9GZM3"
"444","1552621_at","A0A0B4J2F8"
"445","1552621_at","B0FP48"
"446","1552621_at","E5RIL1"
"447","1552622_s_at","P52435"
"448","1552622_s_at","Q9GZM3"
"449","1552622_s_at","A0A0B4J2F8"
"450","1552622_s_at","B0FP48"
"451","1552622_s_at","E5RIL1"
"452","1552623_at","Q96JZ2"
"453","1552625_a_at","Q96Q11"
"454","1552625_a_at","A0A024R2H7"
"455","1552626_a_at","Q8TC26"
"456","1552627_a_at","Q13017"
"457","1552628_a_at","A0A024RA77"
"458","1552628_a_at","Q9BSE4"
"459","1552629_a_at","Q6NYC1"
"460","1552630_a_at","Q6ZRS2"
"461","1552631_a_at","O95382"
"462","1552632_a_at","A0A024R8K1"
"463","1552632_a_at","Q96EG1"
"464","1552633_at","Q8IZC7"
"465","1552634_a_at","Q8IZC7"
"466","1552637_at","Q06124"
"467","1552639_at","Q96G42"
"468","1552641_s_at","Q5T9A4"
"469","1552641_s_at","Q9NVI7"
"470","1552643_at","Q68DY1"
"471","1552644_a_at","B4E2T1"
"472","1552644_a_at","Q8NDX5"
"473","1552644_a_at","E7EX82"
"474","1552646_at","Q14626"
"475","1552646_at","Q5VZ79"
"476","1552648_a_at","O00220"
"477","1552649_a_at","Q8WZ73"
"478","1552651_a_at","Q8WZ73"
"479","1552652_at","A8K2E6"
"480","1552652_at","Q6P1K3"
"481","1552652_at","Q9NQG7"
"482","1552656_s_at","Q8TAS1"
"483","1552657_a_at","A0A140VJY8"
"484","1552657_a_at","Q86VQ3"
"485","1552658_a_at","Q8IVL0"
"486","1552660_a_at","A0A024RE14"
"487","1552660_a_at","Q49AR2"
"488","1552660_a_at","A0A024RE20"
"489","1552661_at","Q9Y5F8"
"490","1552662_a_at","Q9Y5F8"
"491","1552663_a_at","G8JLD3"
"492","1552663_a_at","Q8IUD2"
"493","1552663_a_at","X6RLX0"
"494","1552664_at","A0A0S2Z5Y7"
"495","1552664_at","Q8NFG4"
"496","1552665_at",NA
"497","1552666_a_at","A0A075B6E9"
"498","1552666_a_at","Q96NW7"
"499","1552667_a_at","B4DG32"
"500","1552667_a_at","Q8N5H7"
"501","1552669_at","Q86XI6"
"502","1552670_a_at","Q86XI6"
"503","1552671_a_at","A0A087WXD1"
"504","1552671_a_at","A0A024R176"
"505","1552671_a_at","Q96T83"
"506","1552672_a_at","O75054"
"507","1552673_at","Q8HWS3"
"508","1552674_at","Q969H9"
"509","1552675_at","Q7Z6W7"
"510","1552676_at","Q969E3"
"511","1552677_a_at","Q14689"
"512","1552677_a_at","Q96NX2"
"513","1552678_a_at","B4E3L3"
"514","1552678_a_at","Q96RU2"
"515","1552680_a_at","Q8NG31"
"516","1552682_a_at","Q8NG31"
"517","1552684_a_at","Q96LD8"
"518","1552684_a_at","A8K8D3"
"519","1552685_a_at","Q9NZI5"
"520","1552686_at","Q96M20"
"521","1552686_at","Q4G141"
"522","1552687_a_at","Q96M20"
"523","1552687_a_at","Q4G141"
"524","1552689_at","Q8WXD9"
"525","1552690_a_at","Q7Z3S7"
"526","1552691_at","Q969Q4"
"527","1552693_at","Q969Q4"
"528","1552694_at","Q96QE2"
"529","1552695_a_at","Q96QE2"
"530","1552696_at","A0A024R344"
"531","1552696_at","Q7RTP0"
"532","1552696_at","Q8TAY1"
"533","1552698_at",NA
"534","1552701_a_at","Q5EG05"
"535","1552703_s_at","Q5EG05"
"536","1552703_s_at","P29466"
"537","1552703_s_at","A8K249"
"538","1552703_s_at","A8K257"
"539","1552705_at","Q8WTR2"
"540","1552708_a_at","Q8WTR2"
"541","1552711_a_at","Q6P9G0"
"542","1552712_a_at","Q9BZQ4"
"543","1552713_a_at","P02730"
"544","1552714_at","Q8IUH2"
"545","1552715_a_at","B4DGP2"
"546","1552715_a_at","Q9HBX9"
"547","1552715_a_at","A0A087WWV0"
"548","1552715_a_at","Q59H16"
"549","1552715_a_at","A0A0A0MT52"
"550","1552715_a_at","B3KV27"
"551","1552715_a_at","E9PCA3"
"552","1552716_at","A0A140VKD0"
"553","1552716_at","Q9C093"
"554","1552717_s_at","Q5SW79"
"555","1552718_at","Q8TEA8"
"556","1552719_at","Q6P4E1"
"557","1552721_a_at","P05230"
"558","1552721_a_at","A8K147"
"559","1552721_a_at","Q16089"
"560","1552722_at","A8K1F3"
"561","1552722_at","Q9UBL0"
"562","1552722_at","A8K0T4"
"563","1552724_at","Q8NHV9"
"564","1552725_s_at","Q8TE56"
"565","1552726_at","Q8TE56"
"566","1552727_s_at","Q8TE56"
"567","1552729_at",NA
"568","1552730_at","O43323"
"569","1552731_at","Q8N0Z2"
"570","1552732_at","Q8N0Z2"
"571","1552733_at","Q8N7A1"
"572","1552734_at","Q6R327"
"573","1552735_at","Q9BR81"
"574","1552735_at","Q9UN70"
"575","1552735_at","Q9Y5G9"
"576","1552736_a_at","Q8TDF5"
"577","1552736_a_at","A0A024R375"
"578","1552737_s_at","B4DHF6"
"579","1552737_s_at","O00308"
"580","1552737_s_at","A0A024R711"
"581","1552738_a_at","Q8TDW4"
"582","1552739_s_at","Q8TDW4"
"583","1552740_at","Q8WU43"
"584","1552740_at","B2RAC6"
"585","1552742_at","Q96L42"
"586","1552743_at","O15068"
"587","1552745_at","A0A140VJU7"
"588","1552745_at","Q86UG4"
"589","1552745_at","C9J020"
"590","1552745_at","D3DSZ4"
"591","1552747_a_at","A8MPX8"
"592","1552749_a_at","A0A024R0V3"
"593","1552749_a_at","Q6P597"
"594","1552750_at","Q96Q77"
"595","1552751_a_at","Q96Q77"
"596","1552752_a_at","Q8N3J6"
"597","1552752_a_at","G3XHN4"
"598","1552754_a_at","Q8N3J6"
"599","1552754_a_at","G3XHN4"
"600","1552755_at","Q5T8R8"
"601","1552757_s_at","Q5T8R8"
"602","1552758_at","Q9UKV0"
"603","1552758_at","B7Z3P7"
"604","1552760_at","Q9UKV0"
"605","1552760_at","B7Z3P7"
"606","1552761_at","Q8NCK7"
"607","1552763_at","Q5HYA8"
"608","1552765_x_at","Q5HYA8"
"609","1552766_at","Q96MM7"
"610","1552767_a_at","Q96MM7"
"611","1552768_at","Q8N5S9"
"612","1552768_at","J3KPJ3"
"613","1552769_at","Q96I27"
"614","1552770_s_at","Q8TA94"
"615","1552770_s_at","A0A0C4DGQ9"
"616","1552771_a_at","Q5TKA1"
"617","1552771_a_at","Q6P142"
"618","1552772_at","Q8WXI8"
"619","1552773_at","Q8WXI8"
"620","1552774_a_at","B4DHR4"
"621","1552774_a_at","O95847"
"622","1552775_at","Q5T6X5"
"623","1552777_a_at","Q8TD07"
"624","1552779_a_at","Q8NCS7"
"625","1552779_a_at","B7Z5Y4"
"626","1552779_a_at","A0A0A0MRP1"
"627","1552782_at","Q8NCS7"
"628","1552782_at","B7Z5Y4"
"629","1552782_at","A0A0A0MRP1"
"630","1552783_at","M0R230"
"631","1552783_at","Q8TAU3"
"632","1552785_at","A0A024R0G3"
"633","1552785_at","Q8N8C0"
"634","1552787_at","Q8NG08"
"635","1552788_a_at","Q8NG08"
"636","1552789_at","Q99442"
"637","1552789_at","D3DNQ1"
"638","1552790_a_at","Q99442"
"639","1552790_a_at","D3DNQ1"
"640","1552791_a_at","Q8IVK2"
"641","1552791_a_at","Q13061"
"642","1552791_a_at","H9ME53"
"643","1552792_at","Q5H9R6"
"644","1552792_at","Q8WXH5"
"645","1552793_at",NA
"646","1552794_a_at","Q8IVP9"
"647","1552796_a_at","P81133"
"648","1552797_s_at","Q8N271"
"649","1552797_s_at","B2R879"
"650","1552798_a_at","O00206"
"651","1552799_at","E5RHT3"
"652","1552799_at","Q6P186"
"653","1552799_at","Q96NA8"
"654","1552799_at","A0AVG3"
"655","1552800_at","Q8NFV4"
"656","1552800_at","C9J7Q4"
"657","1552800_at","D3DXF2"
"658","1552801_at","Q6MZZ7"
"659","1552803_a_at","A0A140VJW2"
"660","1552803_a_at","P16949"
"661","1552804_a_at","A0A024R3M4"
"662","1552804_a_at","P58753"
"663","1552806_a_at","B7ZL06"
"664","1552806_a_at","Q96LC7"
"665","1552806_a_at","E9PL79"
"666","1552807_a_at","B7ZL06"
"667","1552807_a_at","Q96LC7"
"668","1552807_a_at","E9PL79"
"669","1552808_at","Q6MZQ3"
"670","1552808_at","Q8N6G6"
"671","1552809_at","Q33E94"
"672","1552811_at","Q96NZ8"
"673","1552812_a_at","Q6N001"
"674","1552812_a_at","Q9P0U3"
"675","1552812_a_at","Q7Z3G1"
"676","1552813_at","A0A075B756"
"677","1552814_a_at","A0A075B756"
"678","1552816_at","Q5VZ03"
"679","1552818_a_at","P32247"
"680","1552819_at",NA
"681","1552822_at","Q96JJ7"
"682","1552825_at","Q96N95"
"683","1552826_at","Q8TE54"
"684","1552826_at","A0A087WZI7"
"685","1552827_s_at","Q8TE54"
"686","1552827_s_at","A0A087WZI7"
"687","1552828_at","Q96RF0"
"688","1552829_at",NA
"689","1552830_at","Q8N4B4"
"690","1552833_at","A8K9Q8"
"691","1552833_at","Q6ZMB0"
"692","1552834_at","A8K9Q8"
"693","1552834_at","Q6ZMB0"
"694","1552835_at","Q6P3S1"
"695","1552835_at","A0A024R987"
"696","1552836_at","Q8N2I2"
"697","1552836_at","Q17RW3"
"698","1552837_at","A0A024RD59"
"699","1552837_at","Q9UPZ9"
"700","1552837_at","B3KQG4"
"701","1552839_at","Q8N9W8"
"702","1552841_s_at","A0A140VJF2"
"703","1552841_s_at","Q9BZR8"
"704","1552841_s_at","A0A024RAR1"
"705","1552842_at","Q8IZP7"
"706","1552843_at","Q9H2B4"
"707","1552845_at","P56746"
"708","1552846_s_at","Q8N4Z0"
"709","1552848_a_at","Q96NR3"
"710","1552848_a_at","X5DNX9"
"711","1552849_at","Q8TC57"
"712","1552849_at","B3KX03"
"713","1552851_at","Q8NAM6"
"714","1552852_a_at","Q8NAM6"
"715","1552853_at","Q5TIE3"
"716","1552854_a_at","Q5TIE3"
"717","1552856_at",NA
"718","1552857_a_at","P50406"
"719","1552858_at","Q8N7X4"
"720","1552860_at","Q8NG57"
"721","1552860_at","Q3SY89"
"722","1552860_at","A6NLF2"
"723","1552862_at",NA
"724","1552863_a_at","A6NP74"
"725","1552863_a_at","Q9BXT2"
"726","1552863_a_at","A6NFR2"
"727","1552865_a_at","Q8N9Z9"
"728","1552867_at",NA
"729","1552868_at",NA
"730","1552870_s_at","Q5T1B0"
"731","1552872_at",NA
"732","1552873_s_at",NA
"733","1552875_a_at","Q8TD46"
"734","1552876_at",NA
"735","1552877_s_at",NA
"736","1552878_at","F1T0H4"
"737","1552878_at","Q8N100"
"738","1552879_a_at","F1T0H4"
"739","1552879_a_at","Q8N100"
"740","1552880_at","Q96JE7"
"741","1552882_a_at","Q5JTC6"
"742","1552884_at","A6NJ46"
"743","1552885_a_at","A6NJ46"
"744","1552887_at","A0A0A0MSR7"
"745","1552887_at","B7ZMN5"
"746","1552887_at","Q96M53"
"747","1552887_at","B7ZMN4"
"748","1552889_a_at","Q2M3D2"
"749","1552890_a_at","A0A024R5K4"
"750","1552890_a_at","P57796"
"751","1552892_at","Q5H8V1"
"752","1552892_at","Q96RJ3"
"753","1552893_at","Q96S95"
"754","1552895_a_at",NA
"755","1552897_a_at","Q8TAE7"
"756","1552898_a_at","Q8TAE7"
"757","1552899_at",NA
"758","1552900_a_at",NA
"759","1552902_a_at","B7ZLK5"
"760","1552902_a_at","O15409"
"761","1552902_a_at","Q8N6B5"
"762","1552902_a_at","X5D2H2"
"763","1552902_a_at","Q8N6B6"
"764","1552903_at","Q8NHY0"
"765","1552904_at","Q8TDF5"
"766","1552904_at","A0A024R375"
"767","1552906_at","Q8N0W7"
"768","1552908_at","Q5JQS6"
"769","1552908_at","Q6ZVI8"
"770","1552908_at","E9PLW0"
"771","1552910_at","Q96RL6"
"772","1552911_at","Q96RL6"
"773","1552912_a_at","Q5VWK5"
"774","1552913_at","Q96M61"
"775","1552914_a_at","Q5ZPR3"
