Entry	yourlist:M20200101216DA2B77BFBD2E6699CA9B6D1C41EB26D9AB2D
O15392	106829
P51693	106830
Q06481	106831
P02647	106832
P02652	106833
P04114	106835
P41238	106836
P02654	106838
P02655	106841
P02656	106842
P55056	106843
P05090	106844
P02649	106845
P02749	106847
P05067	106848
P07741	106849
P07288	106850
P25445	106851
P48023	106852
Q13796	106853
P29972	106854
P41181	106855
Q92482	106856
P55087	106857
P55064	106858
O43315	106861
P10275	106862
O95255	106863
P10398	106864
P48444	106867
P36406	106868
P15514	106869
P84077	106870
P61204	106872
P18085	106873
P49703	106874
P84085	106876
P62330	106877
P05089	106878
P78540	106879
P61586	106880
P62745	106881
P08134	106882
P61587	106883
P84095	106884
Q07960	106885
P98171	106886
Q13017	106887
O43182	106888
P52565	106889
P52566	106890
Q99819	106891
Q15669	106892
P40616	106893
O14813	106894
P36404	106895
P36405	106896
P27540	106898
O00327	106899
P36575	106900
P49407	106901
P32121	106902
P15289	106903
P15848	106904
P08842	106905
P51690	106908
P54793	106909
Q13508	106912
Q93070	106913
O00192	106914
Q13510	106920
P50553	106921
Q99929	106922
P07306	106924
P07307	106925
P04424	106927
O43681	106931
P08243	106932
P45381	106935
Q12797	106936
P00966	106937
O14525	106952
P01008	106953
Q15911	106954
P18846	106956
P18847	106957
P18848	106958
P31939	106961
Q13315	106962
Q9P2R6	106963
Q92858	106964
O00244	106965
P05023	106966
P50993	106967
P13637	106968
P54707	106969
Q13733	106970
P05026	106971
P14415	106972
P54709	106973
O14983	106977
P16615	106978
Q93084	106979
P20020	106980
Q01814	106981
Q16720	106982
P23634	106983
P20648	106985
P51164	106986
P25705	106987
P49419	106990
P06576	106994
P36542	106997
P30049	106998
P56381	106999
P24539	107000
P05496	107001
Q06055	107002
P48201	107003
P56385	107005
P18859	107006
P38606	107007
P15313	107008
P21281	107009
P27449	107010
P21283	107011
P36543	107012
Q99437	107016
O95670	107017
Q93050	107018
Q15904	107019
Q04656	107020
P48047	107021
P35670	107022
Q13535	107027
P46100	107028
Q12756	107029
Q13825	107030
Q9Y679	107031
P01185	107032
P37288	107033
P47901	107034
P30518	107035
P30530	107036
P25311	107040
P20160	107043
P61769	107044
Q14032	107046
O14867	107047
Q92934	107048
Q99933	107049
Q13072	107050
O14514	107051
O60241	107052
O60242	107053
Q16611	107054
P78367	107055
Q99728	107056
Q07812	107057
Q8NFJ9	107058
Q9BXC9	107059
Q96RK4	107060
P54687	107061
O15382	107062
P06276	107064
P12694	107065
P21953	107066
P24385	107067
P10415	107068
Q16548	107069
Q07817	107070
Q92843	107071
P20749	107074
P41182	107076
Q4VC05	107077
O00512	107079
Q02223	107080
Q9UL51	107081
P11274	107083
Q9Y276	107087
Q02338	107091
P30411	107093
P23560	107096
P00751	107098
Q12934	107100
P02818	107101
P21810	107102
P13688	107103
Q93088	107104
Q96G01	107105
P55957	107106
Q13323	107107
O75626	107108
P51451	107109
P54132	107110
Q13867	107111
P32302	107112
P53004	107113
P30043	107114
Q01954	107115
P13497	107117
P12643	107118
P12645	107119
P12644	107120
P22003	107121
P22004	107122
P18075	107123
P34820	107124
P36894	107125
O00238	107126
Q13873	107127
P51813	107128
P05423	107129
Q12981	107130
Q12982	107131
Q12983	107132
O60238	107133
Q9UMX3	107134
Q03001	107135
P58012	107136
P07738	107137
Q86WA6	107138
P38398	107140
P15056	107141
P51587	107142
Q58F21	107143
Q07352	107144
P47974	107145
P35613	107147
Q10588	107148
Q10589	107149
P35070	107150
P43251	107151
Q13886	107152
Q13887	107153
P20290	107154
P62324	107159
Q06187	107160
Q13410	107161
O43683	107164
O60566	107166
Q13895	107167
P30536	107168
Q07021	107169
P05155	107171
P02745	107173
P02746	107174
P02747	107175
P00736	107176
P09871	107177
P06681	107178
P01024	107179
Q16581	107180
P0C0L4	107181,107182
P0C0L5	107182
P04003	107183
P20851	107186
O15484	107187
P01031	107188
P21730	107189
P13671	107190
P10643	107191
P07357	107192
P07358	107193
P07360	107194
Q9Y236	107195
P02748	107196
Q9UID3	107197
Q13405	107199
Q9UHR6	107200
Q15777	107202
Q9Y2G1	107203
P61165	107204
Q9Y4D2	107205
O95466	107208
O15165	107209
P53801	107210
O43822	107211
P56557	107212
O15442	107213
P00915	107214
P00918	107215
P07451	107216
P22748	107217
P35218	107218
P23280	107220
P35219	107222
Q16790	107223
O75493	107224
O43570	107225
O00555	107227
Q00975	107228
Q13936	107229
Q01668	107230
Q15878	107231
O60840	107232
Q13698	107233
Q08345	107234
P54289	107235
Q02641	107236
Q08289	107237
P54284	107238
O00305	107239
Q06432	107240
O43772	107241
P27708	107243
P05937	107244
P22676	107245
P29377	107246
P01258	107247
P06881	107247
P10092	107248
P30988	107250
Q05682	107251
P27482	107261
P27797	107262
O43852	107263
Q16566	107264
Q9UQM7	107265
Q13554	107266
Q13557	107267
Q13555	107268
P49069	107269
P49913	107270
P27824	107271
P40121	107272
P07384	107273
P17655	107274
P20807	107275
P04632	107276
Q9Y6Q1	107277
Q13938	107278
P52907	107279
P47755	107280
P20810	107281
P47756	107282
P49589	107283
P29466	107284
P42575	107285
P42574	107286
P49662	107287
P51878	107288
P55212	107289
P55210	107290
Q14790	107291
P55211	107292
Q92851	107293
P31415	107294
O14958	107295
P41180	107296
P04040	107297
Q03135	107305
P51636	107306
P56539	107307
Q13950	107308
Q01196	107309
Q06455	107310
O75081	107311
Q13761	107312
Q13951	107313
P08185	107314
P22681	107315
Q13191	107316
P50454	107318
P16152	107319
O75828	107320
Q13939	107324
Q16773	107326
P06307	107327
P32238	107328
P32239	107329
O00522	107330
P20248	107331
P14635	107332
P24863	107333
P30279	107334
P30281	107336
P24864	107338
P41002	107339
P51959	107340
Q16589	107341
P51946	107342
O60563	107343
O60583	107344
P40227	107346
P06126	107347
P29016	107348
P15813	107350
P15812	107351
P06729	107352
P04234	107353
P07766	107354
P09693	107355
P20963	107357
P01730	107358
P06127	107359
P30203	107361
P09564	107362
P01732	107363
P10966	107364
P21926	107366
P08571	107367
P15391	107368
P11836	107369
Q96HJ5	107370
P20273	107371
P25063	107372
P26842	107377
P10747	107378
P33681	107379
P42081	107380
P28908	107381
P32971	107382
P20138	107383
O43699	107384
P28906	107385
P16671	107386
Q8WTV0	107387
Q14108	107388
P28907	107390
P49961	107391
Q9Y5L3	107392
O75354	107393
O75355	107394
O75356	107395
P25942	107396
P29965	107397
P16070	107398
Q08722	107399
P09326	107400
P19397	107401
P19256	107403
P13987	107404
P08962	107405
P34810	107406
Q07108	107407
P32970	107408
P21854	107409
P04233	107410
P11912	107411
P40259	107412
P60033	107413
P48960	107414
P48509	107415
P32320	107416
P06493	107420
P21127	107421
P50851	107423
Q99459	107424
Q16181	107425
Q99741	107426
Q12834	107427
P30304	107428
P30305	107429
P30307	107430
P30260	107431
P49427	107432
P60953	107433
P12830	107434
P19022	107435
P22223	107436
P55283	107437
P33151	107438
P55285	107439
Q9ULB5	107440
P55286	107441
Q9ULB4	107442
Q9Y6N8	107443
P55287	107444
P55289	107445
P55290	107447
P55291	107448
O75309	107449
Q13634	107451
P24941	107452
Q00526	107453
P11802	107454
Q00535	107455
Q00534	107456
P50613	107457
P49336	107458
P50750	107459
P38936	107460
P46527	107461
P49918	107462
P42771	107463
Q8N726	107463
P42772	107464
P42773	107465
P55273	107466
Q16667	107467
Q16878	107468
P51861	107469
Q01850	107470
Q92903	107471
Q15517	107472
P31358	107473
P47902	107474
Q99626	107475
O14627	107476
O14967	107477
P06731	107478
P49715	107479
P17676	107480
P49716	107481
Q15744	107482
P53567	107483
P49450	107487
P07199	107488
Q03188	107489
Q02224	107491
P49454	107492
P23141	107494
Q12798	107495
P41208	107496
O15182	107497
P11597	107498
P23528	107499
Q9Y281	107500
P53634	107502
P13569	107506
P01215	107507
Q14002	107513
P31997	107514
O15335	107526
O95199	107527
P28329	107528
P18754	107529
O14646	107530
O14647	107531
Q12873	107532
Q14839	107533
P17516	107534
O14757	107536
O00409	107537
P10645	107538
P05060	107539
P36222	107540
Q15782	107541
Q13231	107542
P35790	107543
Q9Y259	107544
P24386	107545
P26374	107546
P15882	107547
P52757	107548
P11229	107550
P08172	107551
Q99698	107552
P20309	107553
P08173	107554
P02708	107556
P32297	107558
P43681	107559
P30532	107560
P36544	107561
Q05901	107564
P30926	107565
Q07001	107566
Q04844	107567
P07510	107568
O15111	107569
O60543	107570
P12277	107572
Q14011	107573
Q9NSE2	107574
Q99426	107575
P06732	107578
P17540	107580
Q13216	107581
P61024	107582
P33552	107583
Q96CW1	107587
P61966	107588
P53680	107589
Q92572	107590
A8K7I4	107593
P35523	107594
P51788	107595
P51790	107596
P51793	107597
P51795	107598
P51797	107599
P51798	107600
P51800	107601
P10909	107603
O00299	107604
O15247	107605
P49759	107606
P49760	107607
P49761	107609
O14773	107611
Q13286	107612
O75503	107614
P54105	107617
P04118	107618
O96005	107619
P09496	107621
P09497	107622
Q00610	107623
P23946	107624
P32246	107635
P51677	107637
P51679	107638
P51681	107639
P51684	107640
P32248	107641
O00590	107643
Q15722	107645
Q92887	107647
Q14028	107658
P29973	107659
Q16281	107661
Q9H4B4	107663
P51911	107664
Q99439	107665
Q15417	107666
P09543	107667
P21554	107668
P26441	107670
P26992	107671
Q12860	107672
P02452	107674
P08123	107675
P02458	107677
P02461	107678
P02462	107679
P08572	107681
Q01955	107682
P53420	107683
P29400	107684
Q14031	107685
P20908	107686
P05997	107687
P12109	107688
P12110	107689
P12111	107690
Q02388	107691
P27658	107692
P25067	107693
P20849	107694
Q14055	107695
Q14050	107696
Q03692	107697
P12107	107698
P13942	107699
Q99715	107700
Q5TAT6	107701
P39059	107702
Q07092	107703
Q9UMD9	107704
Q14993	107705
P49747	107706
P21964	107707
P53621	107709
P53618	107710
Q99612	107711
O15431	107712
O15432	107713
O00230	107718
P41279	107719
P13073	107720
P10606	107722
P12074	107730
Q02221	107732
P14854	107733
P09669	107738
P14406	107740
P24311	107742
P15954	107743
P10176	107744
Q12887	107745
Q9Y6N1	107746
Q7KZN9	107747
P00450	107748
P15085	107749
P48052	107750
Q96IY4	107753
O75976	107754
P16870	107755
O14493	107756
O15551	107757
O95471	107758
P14384	107760
P15169	107761
P22792	107762
P36551	107763
P31327	107764
P50416	107765
Q92523	107766
P23786	107767
P17927	107769
P20023	107771
P29762	107772
P29373	107773
P43155	107774
P16220	107775
P15336	107776
Q92793	107777
Q99941	107778
O60519	107779
Q03060	107780
P06850	107782
P24387	107783
P34998	107784
Q13324	107785
P50238	107786
P52943	107787
P46108	107788
P46109	107789
Q14194	107790
P02741	107791
P10915	107794
O43186	107796
Q16526	107797
Q49AN0	107798
P02489	107799
P02511	107800
P05813	107801
P53672	107802
P53673	107803
P53674	107804
P43320	107805
P26998	107807
P11844	107808
P07316	107809
P07315	107810
P07320	107811
P22914	107814
Q14894	107815
Q08257	107816
O75390	107818
Q16539	107819
P55060	107821
P09603	107822
P07333	107823
P04141	107824
P15509	107825
P32927	107826
Q99062	107828
P0DML2	107829
P0DML3	107829,107830
Q14406	107831
P41240	107832
P47710	107833
P05814	107834
P07498	107835
P48729	107836
P48730	107837
P49674	107838
P78368	107839
Q9Y6M4	107840
P68400	107841
P19784	107842
P67870	107843
P13611	107844
O14594	107845
Q6UVK1	107846
P21291	107847
Q16527	107848
Q9UBX3	107850
P01037	107851
P09228	107852
P01034	107853
P01036	107854
P28325	107855
Q15828	107856
P01040	107857
P04080	107858
Q05048	107859
P33240	107860
Q12996	107861
P52952	107864
P78358	107867
Q01459	107868
Q13363	107869
P56545	107870
Q16619	107871
P29279	107872
P32929	107873
P16410	107875
P35221	107876
P26232	107877
P35222	107880
O60716	107881
Q9UQB3	107882
P17812	107883
P40313	107886
P07858	107888
P07339	107889
P14091	107890
P08311	107891
P09668	107892
P43235	107893
P07711	107894
O60911	107895
P43234	107899
P25774	107900
P56202	107901
Q9UBR2	107902
P39880	107903
Q13948	107903
P78310	107905
O15482	107907
P00167	107908
P49447	107914
P13498	107915
P04839	107916
P08574	107917
Q14093	107919
Q9NQC7	107920
P04798	107923
P05177	107924
Q16678	107925
P11509	107927
P20853	107928
P24462	107930
Q16696	107931
P20813	107933
P33261	107935
P10632	107936
P11712	107937
P33260	107938
P10635	107940
P05181	107944
P51589	107946
P08684	107948
P20815	107949
Q02928	107951
P13584	107952
Q9UNU6	107954
P05108	107955
P05093	107958
P11511	107960
Q07973	107963
O43174	107964
Q02318	107965
Q16850	107967
O75553	107970
P98082	107971
Q9UI36	107972
P61803	107973
P08174	107974
Q14118	107975
P23743	107976
Q9Y6T7	107977
P49619	107978
P52824	107979
P14920	107980
P51397	107981
P53355	107982
O43293	107983
P14868	107984
Q9UER7	107985
Q9NQZ3	107986
Q92904	107987
O60477	107988
P09172	107989
P07108	107990
Q16643	107995
Q10586	107996
P11182	107997
P43146	107998
P42126	108000
P27707	108001
P07585	108002
P32321	108003
P12821	108004
P40126	108006
Q14203	108007
O43602	108008
Q16531	108009
Q92466	108010
P20711	108011
Q04828	108012
P52895	108013
P24522	108014
P35638	108016
P39656	108017
P30046	108018
Q92499	108019
O00571	108020
P17844	108021
P26196	108022
Q9Y485	108023
Q14562	108024
Q08211	108025
Q13206	108027
Q96FC9	108028
O43143	108029
Q16698	108030
Q01523	108034
Q01524	108035
P60022	108036
O15263	108037
P17661	108038
P00746	108039
O00273	108040
O76075	108041
O60220	108042
O60443	108049
O43405	108051
Q16854	108062
Q9UBM7	108063
Q15392	108064
P00374	108065
Q02127	108068
P49366	108070
P00387	108071
P15559	108072
O60610	108073
O60879	108074
Q8WYJ6	108075
Q92813	108078
P55073	108079
O60832	108080
P10515	108081
P09622	108082
Q12959	108083
Q15700	108084
Q92796	108085
P78352	108086
P36957	108087
P56177	108089
Q07687	108090
O60479	108091
Q92988	108092
P56178	108093
P56179	108094
Q9UGM3	108095
P11532	108096
Q13316	108098
Q05193	108099
Q09013	108100
Q9Y5R6	108101
Q09019	108102
P51530	108103
Q9C0G6	108107
Q96JB1	108108
Q9NYC9	108109
P24855	108112
P49184	108113
Q92874	108114
O00115	108116
Q14204	108117
O14576	108118
Q13409	108119
O43237	108120
P50570	108122
P26358	108123
O14717	108124
Q9Y6K1	108125
Q9UBC3	108126
P04053	108127
Q14185	108128
Q92608	108129
Q8IZD9	108130
Q99704	108131
O77932	108132
Q9H3H5	108133
P16444	108134
Q9BZG8	108135
Q9BQC3	108136
P27487	108137
P42658	108138
Q07507	108139
Q12882	108140
Q14117	108141
Q16555	108142
Q14195	108143
Q01658	108144
P40879	108145
P21728	108146
P14416	108147
P35462	108148
P21917	108149
P21918	108150
P55039	108153
Q99856	108154
Q13474	108155
P54259	108156
Q08554	108157
Q02487	108158
Q14574	108159
O60469	108160
P53805	108161
Q02413	108162
Q14126	108163
P32926	108164
Q99576	108165
P15924	108166
Q99645	108167
Q9NZW4	108168
P50443	108169
Q9Y4J8	108170
O60941	108171
Q99075	108172
Q86Y01	108173
P23919	108174
P28562	108176
Q05923	108177
P51452	108178
Q13115	108179
Q16690	108180
Q16828	108181
Q16829	108182
Q13202	108183
Q99956	108185
P33316	108187
O14640	108188
O14641	108189
Q92997	108190
Q13627	108192
O14656	108193
Q01094	108201
Q14209	108202
O00716	108203
Q16254	108206
Q15329	108207
O75461	108208
Q66K89	108209
Q9UH73	108211
P32249	108212
P42892	108218
P19971	108219
Q13011	108220
P30084	108221
Q16610	108222
Q9H8V3	108223
Q92838	108224
P21453	108225
Q92633	108226
Q99500	108227
P05305	108228
P14138	108230
P25101	108231
P24530	108232
P78364	108233
Q8IXK0	108234
P68104	108237
Q05639	108238
P24534	108253
P29692	108256
P26641	108257
P13639	108258
P41214	108259
P20827	108262
O43921	108263
P52797	108264
P52798	108265
P52803	108266
P98172	108267
P52799	108268
Q15768	108269
P01133	108270
Q9NYQ7	108271
Q9HCU4	108272
O75095	108273
Q7Z7M0	108274
P00533	108276
P18146	108278
P11161	108279
Q05215	108281
Q08426	108282
P47813	108284
P05198	108285
Q14232	108286
P41091	108287
P29317	108288
P60842	108289
Q14240	108290
P23588	108291
P06730	108292
Q13541	108293
Q13542	108294
Q04637	108296
P78344	108297
P55010	108298
P63241	108299
Q9UNI1	108305
P08246	108306
P30740	108307
Q12926	108308
Q15717	108309
Q14576	108310
P26378	108311
P32519	108312
Q15723	108313
P78545	108314
Q99607	108315
Q9UKW6	108316
P19419	108317
P41970	108319
P28324	108320
P15502	108321
O00423	108324
P50402	108325
Q7KZI7	108326
P54849	108327
P54851	108328
P54852	108329
Q04741	108331
Q14247	108332
Q04743	108333
Q05925	108334
P19622	108335
Q14249	108336
P17813	108337
P06733	108338
P09104	108340
P13929	108341
Q07075	108342
O43768	108343
Q99808	108344
Q09472	108347
Q99814	108348
P11171	108349
Q9H4G0	108350
O43491	108351
P16452	108352
Q08495	108353
P27105	108354
P21709	108355
P29320	108356
P54764	108357
P54756	108358
Q15375	108359
P29322	108360
P54762	108361
P29323	108362
P54753	108363
P54760	108364
O15197	108365
P07099	108366
P34913	108367
P32856	108368
Q9UBY8	108369
P01588	108370
P19235	108371
P07814	108372
Q12929	108373
P42566	108374
P10588	108375
P04626	108376
P21860	108377
Q15303	108378
P07992	108379
P18074	108380
O14944	108381
O95677	108382
P19447	108383
Q92889	108384
P28715	108385
Q03468	108386
P50548	108388
P11308	108389
P84090	108390
O75460	108391
Q14264	108395
P22087	108399
P10768	108402
P03372	108403
Q92731	108404
P11474	108405
O95718	108406
P62508	108407
P62495	108408
P13804	108409
P38117	108410
Q16134	108411
P14921	108414
P15036	108415
P50549	108416
O00321	108417
P41162	108418
P43268	108419
P41161	108420
P41212	108421
P57679	108422
Q03112	108423
P22794	108424
Q92817	108426
P49640	108429
Q01844	108431
Q16394	108432
Q93063	108433
Q92935	108435
Q9UBQ6	108436
O43909	108438
Q99502	108439
O00167	108440
Q99504	108441
Q92800	108445
Q15910	108446
P00734	108447
P25116	108448
P55085	108449
P13726	108451
P12259	108452
P08709	108453
P00451	108455
P00740	108456
P00742	108457
P03951	108458
P00748	108459
P00488	108460
P05160	108463
O00519	108464
P15090	108465
P07148	108466
P12104	108467
P05413	108468
Q01469	108469
O15540	108471
O15360	108472
Q00597	108473
Q9BXW9	108474
Q9HB96	108475
P33121	108476
O95573	108477
O60488	108478
P16930	108479
Q14289	108480
Q12830	108481
Q8NB91	108482
Q9NPI8	108483
O15287	108484
Q12884	108485
P23142	108486
Q9Y285	108487
P49327	108488
Q14517	108489
P35544	108491
P98095	108493
P35555	108494
P35556	108495
Q12805	108496
P09467	108497
P24071	108498
P12319	108499
Q01362	108500
P30273	108501
P06734	108502
P12314	108503
Q92637	108504
P12318	108506
P31994	108507
P08637	108508
O75015	108509
P55899	108511
O75072	108512
O00602	108513
Q15485	108514
P37268	108516
P14324	108517
P10109	108521
P22570	108523
P22830	108526
P39748	108528
O75487	108530
P16591	108532
P07332	108533
P02671	108534
P02675	108535
P98174	108536
P05230	108537
P09038	108538
P11487	108539
P08620	108540
P12034	108541
P10767	108542
P21781	108543
P55075	108544
P31371	108545
O15520	108546
Q92914	108547
P61328	108548
Q92913	108549
Q92915	108550
P11362	108551
P22607	108552
P78333	108553
P21802	108554
P22455	108555
P02679	108557
Q08830	108558
P09769	108559
P07954	108562
P49789	108563
Q13642	108564
Q14192	108565
Q13643	108566
O43915	108567
P62942	108570
P68106	108571
P26885	108576
Q00688	108577
Q02790	108578
Q13451	108579
P55316	108580
Q12946	108583
Q12947	108584
Q12948	108585
Q16676	108586
Q12950	108587
Q12951	108588
Q12952	108589
Q92949	108591
Q99958	108592
O00358	108593
Q08050	108594
O60548	108595
O43638	108596
Q12778	108597
O43524	108598
P20930	108601
Q01543	108602
Q13045	108603
Q16655	108604
P21333	108605
O75369	108606
Q14315	108607
Q14254	108608
P17948	108609
P36888	108610
P35916	108612
Q01740	108613
Q99518	108614
P31513	108615
P49326	108617
Q06828	108618
Q06787	108619
P51816	108620
P02751	108621
P49354	108625
P49356	108627
Q04609	108630
P15328	108631
P41439	108635
P01100	108636
P53539	108637
P15408	108638
Q05932	108639
P21462	108640
P25090	108641
Q16595	108677
P42685	108726
P42345	108757
Q14331	108764
Q92765	108765
Q92674	108769
P23945	108770
O00482	108772
P02794	108773
P02792	108789
Q99965	108791
Q13285	108792
P04066	108793
Q9BTY2	108795
P01350	108796
P35637	108797
P19526	108799
Q10981	108800
P21217	108801
P22083	108802
Q9BYC5	108806
Q06136	108807
Q16570	108808
O15117	108809
P06241	108810
Q14332	108811
P09912	108812
P35575	108813
P11413	108814
O43826	108817
Q13065	108818
P12956	108822
P10253	108823
Q13480	108824
Q9UBS5	108825
Q06546	108826
Q06547	108827
P14867	108828
P47869	108829
P34903	108830
P48169	108831
P31644	108832
Q16445	108833
P18505	108834
P47870	108835
P28472	108836
O14764	108837
P78334	108838
Q8N1C3	108839
P18507	108840
P24046	108843
Q99259	108845
Q05329	108846
Q13069	108850
O14976	108853
P54803	108854
Q14376	108855
Q00973	108856
P51570	108857
Q01415	108858
P34059	108860
Q10472	108861
Q10471	108862
Q14435	108863
P07902	108864
Q14353	108865
Q8TET4	108866
P17677	108867
P04406	108868
Q14392	108885
P41250	108887
P22102	108888
P54826	108889
O43903	108890
Q14393	108891
O95995	108892
P15976	108893
P23769	108894
P23771	108895
P43694	108896
Q92908	108897
P50440	108898
P04062	108899
O75323	108901
Q04446	108902
P32455	108903
P32456	108904
Q9H0R5	108905
P02774	108908
Q92947	108909
P01275	108911
P47871	108912
P30793	108913
P30047	108914
P35557	108915
Q14397	108916
P78537	108917
Q92830	108918
Q15406	108919
Q02742	108920
Q8N0V5	108921
P23434	108923
Q9UK05	108928
O14793	108929
O60383	108930
P55107	108931
P31150	108932
P50395	108933
P39905	108936
P55040	108937
P14136	108938
P55789	108939
Q99684	108940
Q06210	108941
P56159	108942
O00451	108943
O60609	108944
P38435	108945
P19440	108946
P15291	108950
Q9UJ14	108953
P36269	108954
P01241	108955
P01242	108956
P10912	108957
P01286	108958
Q02643	108959
P27352	108961
P09681	108962
P48546	108963
P17302	108964
Q9Y6H8	108967
P35212	108968
P36382	108969
P48165	108970
P08034	108971
P29033	108972
O75712	108973
O95377	108974
P32189	108975
Q14410	108977
P06280	108981
P51654	108983
P16278	108984
P48506	108991
P48507	108992
P23378	108993
Q53GS7	108995
Q92896	108996
P08151	108997
P10070	108998
P10071	108999
P10075	109000
Q04760	109001
P43220	109002
P23416	109004
P48167	109005
O94925	109006
P35754	109007
P00367	109008
P49448	109009
P15104	109014
P17900	109022
O60547	109024
P60983	109026
Q99445	109027
P36959	109028
P29992	109029
Q03113	109030
P30679	109031
P63096	109032
P04899	109033
P08754	109035
P38405	109036
P09471	109037
P50148	109038
O95467	109040
P63092	109040
P84996	109040
Q5JWF2	109040
P11488	109041
P19087	109042
P19086	109043
P62873	109044
P62879	109045
P16520	109046
P63215	109047
P50150	109048
P63218	109049
O60262	109050
P50151	109052
P61952	109053
P63211	109054
O14610	109055
P36915	109056
P01148	109058
O43555	109059
P30968	109060
P15586	109061
Q92805	109062
Q08379	109063
Q08378	109064
Q13439	109065
Q14789	109066
P17174	109067
P00505	109068
P31947	109072
P07359	109073
P13224	109074
P55259	109075
P40197	109076
P14770	109077
P35052	109079
P21695	109080
P43304	109081
P06744	109082
P80108	109083
P51674	109084
Q13491	109085
P46092	109087
P46089	109088
P46095	109091
P48145	109092
P48146	109093
P49682	109094
P49683	109095
P47775	109096
Q9UKP6	109097
P49685	109098
Q13304	109099
Q14330	109100
Q99678	109102
Q99679	109103
Q99680	109104
Q99677	109105
O00155	109107
Q8NDV2	109108
Q9HC97	109117
O15354	109119
O43193	109120
O43194	109121
O15552	109125
P32298	109126
P34947	109127
P43250	109128
Q9HBH9	109130
Q13098	109131
Q13227	109132
P24298	109133
P07203	109134
P18283	109135
P22352	109136
P36969	109137
Q96SL4	109139
P62993	109142
Q14451	109143
Q13322	109144
Q14449	109145
Q13905	109146
P42261	109147
P42262	109148
P42263	109149
P48058	109150
Q9ULK0	109151
O43424	109152
P28799	109153
P39086	109154
Q13002	109155
Q13003	109156
Q16099	109157
Q16478	109158
Q05586	109159
Q12879	109160
Q13224	109161
Q14957	109162
O15399	109163
Q7Z429	109164
P04150	109165
Q9NRY4	109166
Q13255	109168
Q14416	109169
Q14832	109170
Q14833	109171
P41594	109172
O15303	109173
Q14831	109174
O00222	109175
P09341	109176
P19875	109177
P07492	109179
P30101	109180
P30550	109181
Q12849	109182
