Entry	Entry name	Gene names
O14493	CLD4_HUMAN	CLDN4 CPER CPETR1 WBSCR8
O14495	PLPP3_HUMAN	PLPP3 LPP3 PPAP2B
O14503	BHE40_HUMAN	BHLHE40 BHLHB2 DEC1 SHARP2 STRA13
O14512	SOCS7_HUMAN	SOCS7 NAP4 SOCS6
O14514	AGRB1_HUMAN	ADGRB1 BAI1
O14519	CDKA1_HUMAN	CDK2AP1 CDKAP1 DOC1
O14522	PTPRT_HUMAN	PTPRT KIAA0283
O14526	FCHO1_HUMAN	FCHO1 KIAA0290
O14530	TXND9_HUMAN	TXNDC9 APACD
O14548	COX7R_HUMAN	COX7A2L COX7AR COX7RP
O14556	G3PT_HUMAN	GAPDHS GAPD2 GAPDH2 GAPDS HSD-35 HSD35
O14558	HSPB6_HUMAN	HSPB6
O14561	ACPM_HUMAN	NDUFAB1
O14576	DC1I1_HUMAN	DYNC1I1 DNCI1 DNCIC1
O14579	COPE_HUMAN	COPE
O14593	RFXK_HUMAN	RFXANK ANKRA1 RFXB
O14599	VCY2_HUMAN	BPY2 BPY2A VCY2 VCY2A; BPY2B VCY2B; BPY2C VCY2C
O14613	BORG1_HUMAN	CDC42EP2 BORG1 CEP2
O14618	CCS_HUMAN	CCS
O14646	CHD1_HUMAN	CHD1
O14647	CHD2_HUMAN	CHD2
O14653	GOSR2_HUMAN	GOSR2 GS27
O14656	TOR1A_HUMAN	TOR1A DQ2 DYT1 TA TORA
O14657	TOR1B_HUMAN	TOR1B DQ1 FKSG18
O14662	STX16_HUMAN	STX16
O14672	ADA10_HUMAN	ADAM10 KUZ MADM
O14678	ABCD4_HUMAN	ABCD4 PXMP1L
O14681	EI24_HUMAN	EI24 PIG8
O14713	ITBP1_HUMAN	ITGB1BP1 ICAP1
O14737	PDCD5_HUMAN	PDCD5 TFAR19
O14744	ANM5_HUMAN	PRMT5 HRMT1L5 IBP72 JBP1 SKB1
O14746	TERT_HUMAN	TERT EST2 TCS1 TRT
O14757	CHK1_HUMAN	CHEK1 CHK1
O14773	TPP1_HUMAN	TPP1 CLN2 GIG1 UNQ267/PRO304
O14775	GNB5_HUMAN	GNB5
O14777	NDC80_HUMAN	NDC80 HEC HEC1 KNTC2
O14786	NRP1_HUMAN	NRP1 NRP VEGF165R
O14795	UN13B_HUMAN	UNC13B UNC13
O14817	TSN4_HUMAN	TSPAN4 NAG2 TM4SF7
O14818	PSA7_HUMAN	PSMA7 HSPC
O14827	RGRF2_HUMAN	RASGRF2 GRF2
O14832	PAHX_HUMAN	PHYH PAHX
O14862	AIM2_HUMAN	AIM2
O14867	BACH1_HUMAN	BACH1
O14874	BCKD_HUMAN	BCKDK
O14879	IFIT3_HUMAN	IFIT3 CIG-49 IFI60 IFIT4 ISG60
O14893	GEMI2_HUMAN	GEMIN2 SIP1
O14896	IRF6_HUMAN	IRF6
O14901	KLF11_HUMAN	KLF11 FKLF TIEG2
O14907	TX1B3_HUMAN	TAX1BP3 TIP1
O14908	GIPC1_HUMAN	GIPC1 C19orf3 GIPC RGS19IP1
O14920	IKKB_HUMAN	IKBKB IKKB
O14924	RGS12_HUMAN	RGS12
O14925	TIM23_HUMAN	TIMM23 TIM23
O14936	CSKP_HUMAN	CASK LIN2
O14949	QCR8_HUMAN	UQCRQ
O14964	HGS_HUMAN	HGS HRS
O14965	AURKA_HUMAN	AURKA AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6
O14966	RAB7L_HUMAN	RAB29 RAB7L1
O14967	CLGN_HUMAN	CLGN
O14972	VP26C_HUMAN	VPS26C DCRA DSCR3 DSCRA
O14974	MYPT1_HUMAN	PPP1R12A MBS MYPT1
O14976	GAK_HUMAN	GAK
O14979	HNRDL_HUMAN	HNRNPDL HNRPDL JKTBP
O14980	XPO1_HUMAN	XPO1 CRM1
O15013	ARHGA_HUMAN	ARHGEF10 KIAA0294
O15014	ZN609_HUMAN	ZNF609 KIAA0295
O15020	SPTN2_HUMAN	SPTBN2 KIAA0302 SCA5
O15027	SC16A_HUMAN	SEC16A KIAA0310 SEC16 SEC16L
O15033	AREL1_HUMAN	AREL1 KIAA0317
O15042	SR140_HUMAN	U2SURP KIAA0332 SR140
O15047	SET1A_HUMAN	SETD1A KIAA0339 KMT2F SET1 SET1A
O15055	PER2_HUMAN	PER2 KIAA0347
O15062	ZBTB5_HUMAN	ZBTB5 KIAA0354
O15078	CE290_HUMAN	CEP290 BBS14 KIAA0373 NPHP6
O15091	MRPP3_HUMAN	PRORP KIAA0391 MRPP3
O15105	SMAD7_HUMAN	SMAD7 MADH7 MADH8
O15111	IKKA_HUMAN	CHUK IKKA TCF16
O15116	LSM1_HUMAN	LSM1 CASM
O15118	NPC1_HUMAN	NPC1
O15119	TBX3_HUMAN	TBX3
O15120	PLCB_HUMAN	AGPAT2
O15121	DEGS1_HUMAN	DEGS1 DES1 MLD MIG15
O15127	SCAM2_HUMAN	SCAMP2
O15131	IMA6_HUMAN	KPNA5
O15151	MDM4_HUMAN	MDM4 MDMX
O15156	ZBT7B_HUMAN	ZBTB7B ZBTB15 ZFP67 ZNF857B
O15160	RPAC1_HUMAN	POLR1C POLR1E
O15162	PLS1_HUMAN	PLSCR1
O15164	TIF1A_HUMAN	TRIM24 RNF82 TIF1 TIF1A
O15169	AXIN1_HUMAN	AXIN1 AXIN
O15182	CETN3_HUMAN	CETN3 CEN3
O15198	SMAD9_HUMAN	SMAD9 MADH6 MADH9 SMAD8
O15205	UBD_HUMAN	UBD FAT10
O15226	NKRF_HUMAN	NKRF ITBA4 NRF
O15228	GNPAT_HUMAN	GNPAT DAPAT DHAPAT
O15230	LAMA5_HUMAN	LAMA5 KIAA0533 KIAA1907
O15234	CASC3_HUMAN	CASC3 MLN51
O15239	NDUA1_HUMAN	NDUFA1
O15240	VGF_HUMAN	VGF
O15243	OBRG_HUMAN	LEPROT LEPR OBR
O15254	ACOX3_HUMAN	ACOX3 BRCOX PRCOX
O15258	RER1_HUMAN	RER1
O15265	ATX7_HUMAN	ATXN7 SCA7
O15269	SPTC1_HUMAN	SPTLC1 LCB1
O15287	FANCG_HUMAN	FANCG XRCC9
O15294	OGT1_HUMAN	OGT
O15296	LX15B_HUMAN	ALOX15B
O15297	PPM1D_HUMAN	PPM1D WIP1
O15304	SIVA_HUMAN	SIVA1 SIVA
O15305	PMM2_HUMAN	PMM2
O15318	RPC7_HUMAN	POLR3G
O15350	P73_HUMAN	TP73 P73
O15354	GPR37_HUMAN	GPR37
O15357	SHIP2_HUMAN	INPPL1 SHIP2
O15360	FANCA_HUMAN	FANCA FAA FACA FANCH
O15379	HDAC3_HUMAN	HDAC3
O15381	NVL_HUMAN	NVL NVL2
O15391	TYY2_HUMAN	YY2 ZNF631
O15392	BIRC5_HUMAN	BIRC5 API4 IAP4
O15393	TMPS2_HUMAN	TMPRSS2 PRSS10
O15394	NCAM2_HUMAN	NCAM2 NCAM21
O15400	STX7_HUMAN	STX7
O15417	TNC18_HUMAN	TNRC18 CAGL79 KIAA1856
O15427	MOT4_HUMAN	SLC16A3 MCT4
O15439	MRP4_HUMAN	ABCC4 MRP4
O15446	RPA34_HUMAN	POLR1G ASE1 CAST CD3EAP PAF49
O15460	P4HA2_HUMAN	P4HA2 UNQ290/PRO330
O15498	YKT6_HUMAN	YKT6
O15503	INSI1_HUMAN	INSIG1
O15504	NUP42_HUMAN	NUP42 CG1 NUPL2
O15514	RPB4_HUMAN	POLR2D
O15516	CLOCK_HUMAN	CLOCK BHLHE8 KIAA0334
O15520	FGF10_HUMAN	FGF10
O15523	DDX3Y_HUMAN	DDX3Y DBY
O15527	OGG1_HUMAN	OGG1 MMH MUTM OGH1
O15530	PDPK1_HUMAN	PDPK1 PDK1
O15534	PER1_HUMAN	PER1 KIAA0482 PER RIGUI
O15539	RGS5_HUMAN	RGS5
O15541	R113A_HUMAN	RNF113A RNF113 ZNF183
O15550	KDM6A_HUMAN	KDM6A UTX
O15552	FFAR2_HUMAN	FFAR2 FFA2 GPCR43 GPR43
O15553	MEFV_HUMAN	MEFV MEF TRIM20
O15554	KCNN4_HUMAN	KCNN4 IK1 IKCA1 KCA4 SK4
O43148	MCES_HUMAN	RNMT KIAA0398
O43159	RRP8_HUMAN	RRP8 KIAA0409 NML hucep-1
O43164	PJA2_HUMAN	PJA2 KIAA0438 RNF131
O43172	PRP4_HUMAN	PRPF4 PRP4
O43181	NDUS4_HUMAN	NDUFS4
O43184	ADA12_HUMAN	ADAM12 MLTN UNQ346/PRO545
O43189	PHF1_HUMAN	PHF1 PCL1
O43237	DC1L2_HUMAN	DYNC1LI2 DNCLI2 LIC2
O43242	PSMD3_HUMAN	PSMD3
O43248	HXC11_HUMAN	HOXC11 HOX3H
O43251	RFOX2_HUMAN	RBFOX2 FOX2 HRNBP2 RBM9 RTA
O43255	SIAH2_HUMAN	SIAH2
O43257	ZNHI1_HUMAN	ZNHIT1 CGBP1 ZNFN4A1
O43264	ZW10_HUMAN	ZW10
O43290	SNUT1_HUMAN	SART1
O43293	DAPK3_HUMAN	DAPK3 ZIPK
O43299	AP5Z1_HUMAN	AP5Z1 KIAA0415 SPG48
O43303	CP110_HUMAN	CCP110 CEP110 CP110 KIAA0419
O43307	ARHG9_HUMAN	ARHGEF9 ARHDH9 KIAA0424
O43310	CTIF_HUMAN	CTIF KIAA0427
O43312	MTSS1_HUMAN	MTSS1 KIAA0429 MIM
O43314	VIP2_HUMAN	PPIP5K2 HISPPD1 KIAA0433 VIP2
O43318	M3K7_HUMAN	MAP3K7 TAK1
O43324	MCA3_HUMAN	EEF1E1 AIMP3 P18
O43353	RIPK2_HUMAN	RIPK2 CARDIAK RICK RIP2 UNQ277/PRO314/PRO34092
O43364	HXA2_HUMAN	HOXA2 HOX1K
O43374	RASL2_HUMAN	RASA4 CAPRI GAPL KIAA0538
O43379	WDR62_HUMAN	WDR62 C19orf14
O43395	PRPF3_HUMAN	PRPF3 HPRP3 PRP3
O43396	TXNL1_HUMAN	TXNL1 TRP32 TXL TXNL
O43402	EMC8_HUMAN	EMC8 C16orf2 C16orf4 COX4AL COX4NB FAM158B NOC4
O43427	FIBP_HUMAN	FIBP
O43435	TBX1_HUMAN	TBX1
O43439	MTG8R_HUMAN	CBFA2T2 EHT MTGR1
O43463	SUV91_HUMAN	SUV39H1 KMT1A SUV39H
O43464	HTRA2_HUMAN	HTRA2 OMI PRSS25
O43482	MS18B_HUMAN	OIP5 MIS18B
O43488	ARK72_HUMAN	AKR7A2 AFAR AFAR1 AKR7
O43490	PROM1_HUMAN	PROM1 PROML1 MSTP061
O43491	E41L2_HUMAN	EPB41L2
O43493	TGON2_HUMAN	TGOLN2 TGN46 TGN51
O43497	CAC1G_HUMAN	CACNA1G KIAA1123
O43502	RA51C_HUMAN	RAD51C RAD51L2
O43504	LTOR5_HUMAN	LAMTOR5 HBXIP XIP
O43505	B4GA1_HUMAN	B4GAT1 B3GNT1 B3GNT6
O43520	AT8B1_HUMAN	ATP8B1 ATPIC FIC1 PFIC
O43521	B2L11_HUMAN	BCL2L11 BIM
O43524	FOXO3_HUMAN	FOXO3 FKHRL1 FOXO3A
O43541	SMAD6_HUMAN	SMAD6 MADH6
O43542	XRCC3_HUMAN	XRCC3
O43543	XRCC2_HUMAN	XRCC2
O43561	LAT_HUMAN	LAT
O43567	RNF13_HUMAN	RNF13 RZF
O43572	AKA10_HUMAN	AKAP10
O43592	XPOT_HUMAN	XPOT
O43598	DNPH1_HUMAN	DNPH1 C6orf108 RCL
O43602	DCX_HUMAN	DCX DBCN LISX
O43609	SPY1_HUMAN	SPRY1
O43615	TIM44_HUMAN	TIMM44 MIMT44 TIM44
O43617	TPPC3_HUMAN	TRAPPC3 BET3 CDABP0066
O43623	SNAI2_HUMAN	SNAI2 SLUG SLUGH
O43639	NCK2_HUMAN	NCK2 GRB4
O43660	PLRG1_HUMAN	PLRG1
O43663	PRC1_HUMAN	PRC1
O43665	RGS10_HUMAN	RGS10
O43670	ZN207_HUMAN	ZNF207 BUGZ
O43674	NDUB5_HUMAN	NDUFB5
O43677	NDUC1_HUMAN	NDUFC1
O43679	LDB2_HUMAN	LDB2 CLIM1
O43680	TCF21_HUMAN	TCF21 BHLHA23 POD1
O43681	GET3_HUMAN	GET3 ARSA ASNA1 TRC40
O43683	BUB1_HUMAN	BUB1 BUB1L
O43707	ACTN4_HUMAN	ACTN4
O43709	BUD23_HUMAN	BUD23 MERM1 WBSCR22 HUSSY-03 PP3381
O43715	TRIA1_HUMAN	TRIAP1 15E1.1 HSPC132
O43716	GATC_HUMAN	GATC 15E1.2
O43731	ERD23_HUMAN	KDELR3
O43739	CYH3_HUMAN	CYTH3 ARNO3 GRP1 PSCD3
O43745	CHP2_HUMAN	CHP2 HCA520
O43747	AP1G1_HUMAN	AP1G1 ADTG CLAPG1
O43752	STX6_HUMAN	STX6
O43765	SGTA_HUMAN	SGTA SGT SGT1
O43772	MCAT_HUMAN	SLC25A20 CAC CACT
O43776	SYNC_HUMAN	NARS1 NARS NRS
O43781	DYRK3_HUMAN	DYRK3
O43791	SPOP_HUMAN	SPOP
O43795	MYO1B_HUMAN	MYO1B
O43805	SSNA1_HUMAN	SSNA1 NA14
O43808	PM34_HUMAN	SLC25A17 PMP34
O43809	CPSF5_HUMAN	NUDT21 CFIM25 CPSF25 CPSF5
O43818	U3IP2_HUMAN	RRP9 RNU3IP2 U355K
O43819	SCO2_HUMAN	SCO2
O43820	HYAL3_HUMAN	HYAL3 LUCA3
O43822	CF410_HUMAN	CFAP410 C21orf2 LRRC76
O43829	ZBT14_HUMAN	ZBTB14 ZFP161 ZNF478
O43837	IDH3B_HUMAN	IDH3B
O43847	NRDC_HUMAN	NRDC NRD1
O43852	CALU_HUMAN	CALU
O43889	CREB3_HUMAN	CREB3 LZIP
O43900	PRIC3_HUMAN	PRICKLE3 LMO6
O43909	EXTL3_HUMAN	EXTL3 EXTL1L EXTR1 KIAA0519
O43913	ORC5_HUMAN	ORC5 ORC5L
O43920	NDUS5_HUMAN	NDUFS5
O43924	PDE6D_HUMAN	PDE6D PDED
O43929	ORC4_HUMAN	ORC4 ORC4L
O43933	PEX1_HUMAN	PEX1
O60220	TIM8A_HUMAN	TIMM8A DDP DDP1 TIM8A
O60229	KALRN_HUMAN	KALRN DUET DUO HAPIP TRAD
O60231	DHX16_HUMAN	DHX16 DBP2 DDX16 KIAA0577 PRP2
O60238	BNI3L_HUMAN	BNIP3L BNIP3A BNIP3H NIX
O60241	AGRB2_HUMAN	ADGRB2 BAI2
O60244	MED14_HUMAN	MED14 ARC150 CRSP2 CXorf4 DRIP150 EXLM1 RGR1 TRAP170
O60245	PCDH7_HUMAN	PCDH7 BHPCDH
O60260	PRKN_HUMAN	PRKN PARK2
O60264	SMCA5_HUMAN	SMARCA5 SNF2H WCRF135
O60266	ADCY3_HUMAN	ADCY3 KIAA0511
O60271	JIP4_HUMAN	SPAG9 HSS KIAA0516 MAPK8IP4 SYD1 HLC6
O60285	NUAK1_HUMAN	NUAK1 ARK5 KIAA0537 OMPHK1
O60287	NPA1P_HUMAN	URB1 C21orf108 KIAA0539 NOP254 NPA1
O60291	MGRN1_HUMAN	MGRN1 KIAA0544 RNF156
O60293	ZC3H1_HUMAN	ZFC3H1 CCDC131 KIAA0546 PSRC2
O60304	ZN500_HUMAN	ZNF500 KIAA0557 ZKSCAN18
O60306	AQR_HUMAN	AQR KIAA0560
O60312	AT10A_HUMAN	ATP10A ATP10C ATPVA ATPVC KIAA0566
O60313	OPA1_HUMAN	OPA1 KIAA0567
O60315	ZEB2_HUMAN	ZEB2 KIAA0569 SIP1 ZFHX1B ZFX1B HRIHFB2411
O60318	GANP_HUMAN	MCM3AP GANP KIAA0572 MAP80
O60331	PI51C_HUMAN	PIP5K1C KIAA0589
O60337	MARH6_HUMAN	MARCHF6 KIAA0597 MARCH6 RNF176 TEB4
O60341	KDM1A_HUMAN	KDM1A AOF2 KDM1 KIAA0601 LSD1
O60343	TBCD4_HUMAN	TBC1D4 AS160 KIAA0603
O60353	FZD6_HUMAN	FZD6
O60356	NUPR1_HUMAN	NUPR1 COM1
O60443	GSDME_HUMAN	GSDME DFNA5 ICERE1
O60447	EVI5_HUMAN	EVI5 NB4S
O60476	MA1A2_HUMAN	MAN1A2 MAN1B
O60493	SNX3_HUMAN	SNX3
O60500	NPHN_HUMAN	NPHS1 NPHN
O60502	OGA_HUMAN	OGA HEXC KIAA0679 MEA5 MGEA5
O60508	PRP17_HUMAN	CDC40 EHB3 PRP17 PRPF17
O60512	B4GT3_HUMAN	B4GALT3
O60513	B4GT4_HUMAN	B4GALT4 UNQ552/PRO1109
O60551	NMT2_HUMAN	NMT2
O60563	CCNT1_HUMAN	CCNT1
O60566	BUB1B_HUMAN	BUB1B BUBR1 MAD3L SSK1
O60568	PLOD3_HUMAN	PLOD3
O60583	CCNT2_HUMAN	CCNT2
O60603	TLR2_HUMAN	TLR2 TIL4
O60609	GFRA3_HUMAN	GFRA3 UNQ339/PRO538/PRO3664
O60635	TSN1_HUMAN	TSPAN1
O60656	UD19_HUMAN	UGT1A9 GNT1 UGT1
O60662	KLH41_HUMAN	KLHL41 KBTBD10 KRP1
O60663	LMX1B_HUMAN	LMX1B
O60664	PLIN3_HUMAN	PLIN3 M6PRBP1 TIP47
O60674	JAK2_HUMAN	JAK2
O60683	PEX10_HUMAN	PEX10 RNF69
O60704	TPST2_HUMAN	TPST2
O60711	LPXN_HUMAN	LPXN LDLP
O60716	CTND1_HUMAN	CTNND1 KIAA0384
O60725	ICMT_HUMAN	ICMT PCCMT
O60729	CC14B_HUMAN	CDC14B
O60733	PLPL9_HUMAN	PLA2G6 PLPLA9
O60741	HCN1_HUMAN	HCN1 BCNG1
O60749	SNX2_HUMAN	SNX2 TRG9
O60759	CYTIP_HUMAN	CYTIP PSCDBP
O60762	DPM1_HUMAN	DPM1
O60763	USO1_HUMAN	USO1 VDP
O60765	Z354A_HUMAN	ZNF354A EZNF HKL1 TCF17
O60779	S19A2_HUMAN	SLC19A2 THT1 TRMA
O60784	TOM1_HUMAN	TOM1
O60814	H2B1K_HUMAN	H2BC12 H2BFT HIRIP1 HIST1H2BK
O60825	F262_HUMAN	PFKFB2
O60828	PQBP1_HUMAN	PQBP1 NPW38 JM26
O60832	DKC1_HUMAN	DKC1 NOLA4
O60869	EDF1_HUMAN	EDF1
O60870	KIN17_HUMAN	KIN BTCD KIN17
O60879	DIAP2_HUMAN	DIAPH2 DIA
O60884	DNJA2_HUMAN	DNAJA2 CPR3 HIRIP4
O60885	BRD4_HUMAN	BRD4 HUNK1
O60894	RAMP1_HUMAN	RAMP1
O60896	RAMP3_HUMAN	RAMP3
O60907	TBL1X_HUMAN	TBL1X TBL1
O60909	B4GT2_HUMAN	B4GALT2
O60921	HUS1_HUMAN	HUS1
O60934	NBN_HUMAN	NBN NBS NBS1 P95
O60936	NOL3_HUMAN	NOL3 ARC NOP
O75030	MITF_HUMAN	MITF BHLHE32
O75031	HSF2B_HUMAN	HSF2BP
O75044	SRGP2_HUMAN	SRGAP2 ARHGAP34 FNBP2 KIAA0456 SRGAP2A
O75063	XYLK_HUMAN	FAM20B KIAA0475
O75064	DEN4B_HUMAN	DENND4B KIAA0476
O75069	TMCC2_HUMAN	TMCC2 KIAA0481 hucep-11
O75072	FKTN_HUMAN	FKTN FCMD
O75083	WDR1_HUMAN	WDR1
O75084	FZD7_HUMAN	FZD7
O75116	ROCK2_HUMAN	ROCK2 KIAA0619
O75122	CLAP2_HUMAN	CLASP2 KIAA0627
O75127	PTCD1_HUMAN	PTCD1 KIAA0632
O75131	CPNE3_HUMAN	CPNE3 CPN3 KIAA0636
O75132	ZBED4_HUMAN	ZBED4 KIAA0637
O75140	DEPD5_HUMAN	DEPDC5 KIAA0645
O75143	ATG13_HUMAN	ATG13 KIAA0652
O75144	ICOSL_HUMAN	ICOSLG B7H2 B7RP1 ICOSL KIAA0653
O75146	HIP1R_HUMAN	HIP1R HIP12 KIAA0655
O75147	OBSL1_HUMAN	OBSL1 KIAA0657
O75150	BRE1B_HUMAN	RNF40 BRE1B KIAA0661
O75151	PHF2_HUMAN	PHF2 CENP-35 KIAA0662
O75154	RFIP3_HUMAN	RAB11FIP3 ARFO1 KIAA0665
